name,ID,award,year,lgID,note
John Kilpatrick,kilpajo01h,Patrick,1967,NHL,posthumous
John MacInnes,,Patrick,1985,NHL,
John Mariucci,mariujo01,Patrick,1976,NHL,
John Mayasich,,Patrick,1997,NHL,
John Ziegler,ziegljo01h,Patrick,1983,NHL,
Keith Allen,allenke01,Patrick,1987,NHL,
Ken Morrow,morroke01,Patrick,1995,NHL,
Larry Pleau,pleaula01,Patrick,2001,NHL,
Len Ceglarski,,Patrick,1989,NHL,
Lou Lamoriello,lamorlo01c,Patrick,1991,NHL,
Lou Nanne,nannelo01,Patrick,1988,NHL,
Lou Vairo,,Patrick,1999,NHL,
Lynn Patrick,patrily01,Patrick,1988,NHL,posthumous
Marcel Dionne,dionnma01,Patrick,2005,NHL,
Mario Lemieux,lemiema01,Patrick,1999,NHL,
Mark Johnson,johnsma02,Patrick,2010,NHL,
Mark Messier,messima01,Patrick,2008,NHL,
Max McNab,mcnabma01,Patrick,1997,NHL,
Mike Emrick,,Patrick,2003,NHL,
Mike Ilitch,ilitcmi01h,Patrick,1990,NHL,
Mike Richter,richtmi01,Patrick,2008,NHL,
Milt Schmidt,schmimi01,Patrick,1995,NHL,
Murray Armstrong,armstmu01,Patrick,1976,NHL,
Murray Murdoch,murdomu01,Patrick,1973,NHL,
Neal Broten,brotene01,Patrick,1997,NHL,
Pat LaFontaine,lafonpa01,Patrick,1996,NHL,
Peter Karmanos,,Patrick,1997,NHL,
Phil Esposito,esposph01,Patrick,1977,NHL,
Phil Housley,houslph01,Patrick,2007,NHL,
Ray Miron,,Patrick,2003,NHL,
Raymond Bourque,bourqra01,Patrick,2002,NHL,
Red Berenson,berenre01,Patrick,2005,NHL,
Red Dutton,duttore01,Patrick,1992,NHL,
Reed Larson,larsore01,Patrick,2005,NHL,
Robert Ridder,,Patrick,1993,NHL,
Rod Gilbert,gilbero01,Patrick,1990,NHL,
Ron DeGregorio,,Patrick,2002,NHL,
Scotty Bowman,bowmasc01c,Patrick,2000,NHL,
Seymour H. Knox III,,Patrick,1996,NHL,posthumous
Stan Fischler,,Patrick,2006,NHL,
Stan Mikita,mikitst01,Patrick,1975,NHL,
Steve Yzerman,yzermst01,Patrick,2005,NHL,
Ted Lindsay,lindste01,Patrick,2007,NHL,
Terry Sawchuk,sawchte01,Patrick,1970,NHL,posthumous
Thomas Lockhart,lockhth01h,Patrick,1967,NHL,
Tom Fitzgerald,,Patrick,1977,NHL,
Tommy Ivan,ivanto01c,Patrick,1974,NHL,
Tony Rossi,,Patrick,2010,NHL,
Walter Brown,brownwa02h,Patrick,1967,NHL,posthumous
Walter Bush,bushwa01h,Patrick,1972,NHL,
Wayne Gretzky,gretzwa01,Patrick,1993,NHL,
Weston Adams,adamswe01h,Patrick,1973,NHL,posthumous
William Jennings,jenniwi01h,Patrick,1970,NHL,
William Tutt,tuttwi01h,Patrick,1977,NHL,
William Wirtz,wirtzwi01h,Patrick,1977,NHL,
Willie O'Ree,oreewi01,Patrick,2002,NHL,
